"Sao Paulo",-23.5504,-46.6339,Brazil,BR,BRA,22046000
"Buenos Aires",-34.5997,-58.3819,Argentina,AR,ARG,16157000
"Rio de Janeiro",-22.9083,-43.1964,Brazil,BR,BRA,12272000
Lima,-12.05,-77.0333,Peru,PE,PER,9848000
Bogota,4.6126,-74.0705,Colombia,CO,COL,9464000
Santiago,-33.45,-70.6667,Chile,CL,CHL,7007000
"Belo Horizonte",-19.8917,-43.9478,Brazil,BR,BRA,5159000
"Santa Cruz",-17.7892,-63.1975,Bolivia,BO,BOL,3151676
Brasilia,-15.7744,-48.0773,Brazil,BR,BRA,3015268
Salvador,-12.9708,-38.5108,Brazil,BR,BRA,2921087
"La Paz",-16.4942,-68.1475,Bolivia,BO,BOL,2867504
Guayaquil,-2.1833,-79.8833,Ecuador,EC,ECU,2723665
Medellin,6.2447,-75.5748,Colombia,CO,COL,2529403
Cali,3.44,-76.5197,Colombia,CO,COL,2471474
Fortaleza,-3.7275,-38.5275,Brazil,BR,BRA,2452185
Quito,-0.2186,-78.5097,Ecuador,EC,ECU,2011388
Caracas,10.5,-66.9333,Venezuela,VE,VEN,1943901
Curitiba,-25.4297,-49.2719,Brazil,BR,BRA,1879355
Asuncion,-25.3,-57.6333,Paraguay,PY,PRY,1870000
Barranquilla,10.96,-74.8,Colombia,CO,COL,1798000
Manaus,-3.1,-60.0167,Brazil,BR,BRA,1802014
Vitoria,-20.324,-40.366,Brazil,BR,BRA,1704000
Recife,-8.0539,-34.8808,Brazil,BR,BRA,1555039
Maracaibo,10.6333,-71.6333,Venezuela,VE,VEN,1551539
"Porto Alegre",-30.0328,-51.23,Brazil,BR,BRA,1484941
Valencia,10.1667,-68,Venezuela,VE,VEN,1484430
Goiania,-16.6789,-49.2539,Brazil,BR,BRA,1393575
Belem,-1.4558,-48.5039,Brazil,BR,BRA,1393399
Cordoba,-31.4167,-64.1833,Argentina,AR,ARG,1329604
Guarulhos,-23.4667,-46.5333,Brazil,BR,BRA,1324781
Montevideo,-34.8667,-56.1667,Uruguay,UY,URY,1319108
"Vila Velha",3.2167,-51.2167,Brazil,BR,BRA,1209091
Rosario,-32.9575,-60.6394,Argentina,AR,ARG,1193605
Campinas,-22.9009,-47.0573,Brazil,BR,BRA,1164098
Callao,-12.0611,-77.1333,Peru,PE,PER,1129854
"Sao Luis",-2.53,-44.3028,Brazil,BR,BRA,1073893
Barquisimeto,10.0678,-69.3467,Venezuela,VE,VEN,1059092
Cartagena,10.4236,-75.5253,Colombia,CO,COL,1036412
Maceio,-9.6658,-35.735,Brazil,BR,BRA,1029129
Arequipa,-16.3988,-71.5369,Peru,PE,PER,1008290
"Panama City",9,-79.5,Panama,PA,PAN,880691
Sucre,-19.0431,-65.2592,Bolivia,BO,BOL,300000
Paramaribo,5.8667,-55.1667,Suriname,SR,SUR,223757
Georgetown,6.7833,-58.1667,Guyana,GY,GUY,200500
"Port of Spain",10.6667,-61.5167,"Trinidad And Tobago",TT,TTO,37074
Joinvile,-26.32,-48.8399,Brazil,BR,BRA,988000
Natal,-6.9838,-60.2699,Brazil,BR,BRA,980588
Trujillo,-8.1119,-79.0289,Peru,PE,PER,919899
Olinda,-8,-34.85,Brazil,BR,BRA,921840
Natal,-5.795,-35.2089,Brazil,BR,BRA,877662
"Novo Hamburgo",-29.7096,-51.14,Brazil,BR,BRA,876990
"Campo Grande",-20.4686,-54.6222,Brazil,BR,BRA,874210
Barinas,8.6333,-70.2167,Venezuela,VE,VEN,873962
Teresina,-5.0949,-42.8042,Brazil,BR,BRA,847430
Iguacu,-22.74,-43.47,Brazil,BR,BRA,844583
"Sao Bernardo do Campo",-23.6939,-46.565,Brazil,BR,BRA,816925
"Joao Pessoa",-7.0833,-34.8333,Brazil,BR,BRA,801718
"Ciudad Guayana",8.3596,-62.6517,Venezuela,VE,VEN,751331
Cucuta,7.9075,-72.5047,Colombia,CO,COL,750000
"San Cristobal",7.7682,-72.2322,Venezuela,VE,VEN,743924
Jaboatao,-8.1803,-35.0014,Brazil,BR,BRA,702621
"Santo Andre",-23.6572,-46.5333,Brazil,BR,BRA,710210
Soledad,10.92,-74.77,Colombia,CO,COL,698852
Osasco,-23.5328,-46.7919,Brazil,BR,BRA,694844
Aracaju,-10.9111,-37.0717,Brazil,BR,BRA,685356
"Sao Jose dos Campos",-23.1789,-45.8869,Brazil,BR,BRA,688597
"Sao Jose dos Pinhais",-25.57,-49.18,Brazil,BR,BRA,665063
"Ribeirao Preto",-21.1783,-47.8067,Brazil,BR,BRA,666323
"Catia La Mar",10.6,-67.0333,Venezuela,VE,VEN,661897
Sorocaba,-23.5019,-47.4578,Brazil,BR,BRA,644919
Cochabamba,-17.3935,-66.157,Bolivia,BO,BOL,632013
"San Miguel de Tucuman",-26.8167,-65.2167,Argentina,AR,ARG,605767
Uberlandia,-18.9189,-48.2769,Brazil,BR,BRA,604013
Canoas,-29.92,-51.18,Brazil,BR,BRA,600000
"Mar del Plata",-38,-57.55,Argentina,AR,ARG,593337
Cuiaba,-15.5958,-56.0969,Brazil,BR,BRA,585367
Bucaramanga,7.1186,-73.1161,Colombia,CO,COL,581130
Pereira,4.8104,-75.68,Colombia,CO,COL,568750
"Ciudad Bolivar",8.1167,-63.55,Venezuela,VE,VEN,567953
Chiclayo,-6.763,-79.8366,Peru,PE,PER,552508
Maturin,9.7457,-63.1832,Venezuela,VE,VEN,542259
Ibague,4.4378,-75.2006,Colombia,CO,COL,541101
Salta,-24.7883,-65.4106,Argentina,AR,ARG,535303
Villavicencio,4.1425,-73.6294,Colombia,CO,COL,527668
"Santa Teresa del Tuy",10.2333,-66.65,Venezuela,VE,VEN,525321
Londrina,-23.3,-51.18,Brazil,BR,BRA,520238
Bello,6.33,-75.57,Colombia,CO,COL,519670
"Santa Marta",11.2361,-74.2017,Colombia,CO,COL,515556
Niteroi,-22.8833,-43.1036,Brazil,BR,BRA,496696
Chimbote,-9.0745,-78.5936,Peru,PE,PER,497875
Valledupar,10.4603,-73.2597,Colombia,CO,COL,490075
"Juiz de Fora",-21.7642,-43.3503,Brazil,BR,BRA,470193
"Feira de Santana",-12.25,-38.97,Brazil,BR,BRA,481911
Americana,-22.7392,-47.3314,Brazil,BR,BRA,479472
Florianopolis,-27.5933,-48.553,Brazil,BR,BRA,477798
"San Juan",-31.5375,-68.5364,Argentina,AR,ARG,471389
"Vila Velha",-20.3364,-40.2936,Brazil,BR,BRA,472762
Macapa,0.033,-51.0653,Brazil,BR,BRA,474706
Piura,-5.2008,-80.6253,Peru,PE,PER,473025
Lanus,-34.7,-58.4,Argentina,AR,ARG,459263
Maua,-23.6678,-46.4608,Brazil,BR,BRA,453286
Monteria,8.76,-75.8856,Colombia,CO,COL,460223
"Volta Redonda",-22.5196,-44.095,Brazil,BR,BRA,456362
Barcelona,10.1333,-64.6833,Venezuela,VE,VEN,448016
"Sao Jose do Rio Preto",-20.82,-49.3789,Brazil,BR,BRA,442548
Diadema,-23.6858,-46.6228,Brazil,BR,BRA,412428
Santos,-23.9608,-46.3339,Brazil,BR,BRA,433966
Cusco,-13.5183,-71.9781,Peru,PE,PER,428450
"Mogi das Cruzes",-23.5228,-46.1931,Brazil,BR,BRA,424633
Ipatinga,-19.4796,-42.52,Brazil,BR,BRA,407894
Maracay,10.2469,-67.5958,Venezuela,VE,VEN,407109
"Santa Fe",-31.6333,-60.7,Argentina,AR,ARG,405683
"Campina Grande",-7.2306,-35.8811,Brazil,BR,BRA,405072
Carapicuiba,-23.5228,-46.8358,Brazil,BR,BRA,392294
Jundiai,-23.1864,-46.8842,Brazil,BR,BRA,401896
Campos,-21.7523,-41.3304,Brazil,BR,BRA,387417
"San Lorenzo",-25.3431,-57.5094,Paraguay,PY,PRY,387977
"Caxias do Sul",-29.18,-51.17,Brazil,BR,BRA,381270
"Rio Branco",-9.9781,-67.8117,Brazil,BR,BRA,383443
Pasto,1.2136,-77.2811,Colombia,CO,COL,382236
Antofagasta,-23.6464,-70.398,Chile,CL,CHL,380695
Huancayo,-12.0667,-75.2167,Peru,PE,PER,378203
Iquitos,-3.7333,-73.25,Peru,PE,PER,377609
Manizales,5.06,-75.52,Colombia,CO,COL,375848
Cumana,10.45,-64.1667,Venezuela,VE,VEN,374706
Bauru,-22.3147,-49.0606,Brazil,BR,BRA,366992
Anapolis,-16.3269,-48.9528,Brazil,BR,BRA,366491
"Montes Claros",-16.7322,-43.8636,Brazil,BR,BRA,361915
"Sao Vicente",-23.9633,-46.3922,Brazil,BR,BRA,355542
Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,BRA,352801
Corrientes,-27.4833,-58.8167,Argentina,AR,ARG,352646
Cabimas,10.4,-71.4333,Venezuela,VE,VEN,351735
Piracicaba,-22.725,-47.6489,Brazil,BR,BRA,342209
Franca,-20.5389,-47.4008,Brazil,BR,BRA,342112
"Vina del Mar",-33.0244,-71.5517,Chile,CL,CHL,332875
Cuenca,-2.8974,-79.0045,Ecuador,EC,ECU,329928
Maringa,-23.4095,-51.93,Brazil,BR,BRA,328335
Pelotas,-31.75,-52.33,Brazil,BR,BRA,320674
Itajai,-26.8996,-48.68,Brazil,BR,BRA,327126
"Boa Vista",2.82,-60.6719,Brazil,BR,BRA,326419
Pucallpa,-8.3833,-74.55,Peru,PE,PER,326040
Uberaba,-19.7478,-47.9319,Brazil,BR,BRA,325279
"San Salvador de Jujuy",-24.1856,-65.2994,Argentina,AR,ARG,321789
Neiva,2.9275,-75.2875,Colombia,CO,COL,316033
"Vitoria da Conquista",-14.8661,-40.8394,Brazil,BR,BRA,308204
Guaruja,-23.9936,-46.2564,Brazil,BR,BRA,311230
"Porto Velho",-8.7619,-63.9039,Brazil,BR,BRA,306180
Blumenau,-26.9189,-49.0658,Brazil,BR,BRA,309011
"Puerto La Cruz",10.2167,-64.6167,Venezuela,VE,VEN,306261
"Ciudad del Este",-25.5167,-54.6167,Paraguay,PY,PRY,304282
Armenia,4.5389,-75.6725,Colombia,CO,COL,301226
Taubate,-23.0333,-45.55,Brazil,BR,BRA,302331
Popayan,2.4411,-76.6061,Colombia,CO,COL,300837
"Praia Grande",-24.0058,-46.4028,Brazil,BR,BRA,299261
Merida,8.5833,-71.1333,Venezuela,VE,VEN,300000
"Bahia Blanca",-38.7167,-62.2667,Argentina,AR,ARG,299101
Petropolis,-22.505,-43.1789,Brazil,BR,BRA,298142
Valparaiso,-33.0458,-71.6197,Chile,CL,CHL,296655
Limeira,-22.5647,-47.4017,Brazil,BR,BRA,296440
"Ponta Grossa",-25.09,-50.16,Brazil,BR,BRA,292177
Resistencia,-27.4514,-58.9867,Argentina,AR,ARG,291720
Juliaca,-15.4908,-70.1269,Peru,PE,PER,291189
"Punto Fijo",11.7167,-70.1833,Venezuela,VE,VEN,287558
Tacna,-18.0556,-70.2483,Peru,PE,PER,286240
Crato,-7.2342,-39.4094,Brazil,BR,BRA,273883
Coro,11.395,-69.6816,Venezuela,VE,VEN,284266
"Taboao da Serra",-23.6019,-46.7528,Brazil,BR,BRA,272177
Temuco,-38.7399,-72.5901,Chile,CL,CHL,282415
Ica,-14.0667,-75.7333,Peru,PE,PER,282407
Sincelejo,9.2994,-75.3958,Colombia,CO,COL,279031
Posadas,-27.3667,-55.8969,Argentina,AR,ARG,275988
"La Guaira",10.6,-66.9331,Venezuela,VE,VEN,275000
Crato,-7.4639,-63.04,Brazil,BR,BRA,273883
Palmas,-10.2128,-48.3603,Brazil,BR,BRA,272726
"Santo Domingo de los Colorados",-0.2542,-79.1719,Ecuador,EC,ECU,270875
Sumare,-22.8219,-47.2669,Brazil,BR,BRA,265955
Maraba,-5.3689,-49.1178,Brazil,BR,BRA,266932
Petrolina,-9.38,-40.51,Brazil,BR,BRA,260985
Oruro,-17.9667,-67.1167,Bolivia,BO,BOL,264683
Barueri,-23.5111,-46.8764,Brazil,BR,BRA,262275
Cascavel,-24.9558,-53.4553,Brazil,BR,BRA,257172
"Governador Valadares",-18.87,-41.97,Brazil,BR,BRA,250878
"Foz do Iguacu",-25.5478,-54.5878,Brazil,BR,BRA,256088
"Santa Maria",-29.6833,-53.8,Brazil,BR,BRA,249219
Turmero,10.2283,-67.4753,Venezuela,VE,VEN,254880
Buenaventura,3.8724,-77.0505,Colombia,CO,COL,252805
"Varzea Grande",-15.65,-56.14,Brazil,BR,BRA,249752
"Santiago del Estero",-27.7844,-64.2669,Argentina,AR,ARG,252192
"Los Teques",10.3411,-67.0406,Venezuela,VE,VEN,251200
Caruaru,-8.28,-35.98,Brazil,BR,BRA,242094
"San Bernardo",-33.6,-70.7,Chile,CL,CHL,246762
Parana,-31.7444,-60.5175,Argentina,AR,ARG,247863
Oruro,-17.98,-67.13,Bolivia,BO,BOL,246501
Merlo,-34.6653,-58.7275,Argentina,AR,ARG,244168
Colon,9.3598,-79.9004,Panama,PA,PAN,241817
"Puerto Montt",-41.4718,-72.9396,Chile,CL,CHL,245902
"Gonzalez Catan",-34.7708,-58.6464,Argentina,AR,ARG,238067
"Juazeiro do Norte",-7.21,-39.32,Brazil,BR,BRA,225230
Tarapoto,-6.4833,-76.3667,Peru,PE,PER,240453
"Sao Carlos",-22.0178,-47.8908,Brazil,BR,BRA,241389
Ilheus,-14.7936,-39.0395,Brazil,BR,BRA,230622
Quilmes,-34.7167,-58.2667,Argentina,AR,ARG,230810
"El Tigre",8.8858,-64.2611,Venezuela,VE,VEN,236566
Machala,-3.2667,-79.9667,Ecuador,EC,ECU,231260
Santarem,-2.4431,-54.7083,Brazil,BR,BRA,230428
